Make,VIN,Output
Acura,YA324,5145
Acura,YA325,5145
Acura,YA315,5145
Acura,YA314,5145
Acura,UA26[45],1873
Acura,YA224,5145
Acura,YA225,5145
Acura,YA42[4567],5145
Acura,YA424,5145
Acura,YA425,5145
Acura,YA426,5145
Acura,YA427,5145
Acura,YA424,5145
Acura,YA425,5145
Acura,YA426,5145
Acura,YA427,5145
Acura,YA416,5145
Acura,YA417,5145
Acura,UA364,1873
Acura,KA965,1872
Acura,KA966,1872
Acura,KA967,1872
Acura,KA964,1872
Acura,KA963,1872
Acura,KA968,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,KA965,1872
Acura,KA966,1872
Acura,YA1,5145
Acura,YA2,5145
Acura,DE2F[378],2150
Acura,DE2F[378],2150
Acura,DE2E7,2150
Acura,DE3F3,2150
Acura,DE3F5,2150
Acura,DE3F7,2150
Acura,DE1F3,2150
Acura,DE1F5,2150
Acura,DE1F7,2150
Acura,DE2E5,2150
Acura,DE3F3,2150
Acura,DE3F5,2150
Acura,DE3F7,2150
Acura,DE1F3,2150
Acura,DE1F5,2150
Acura,DE1F7,2150
Acura,DE2E5,2150
Acura,DE1F[357],2150
Acura,DE2E[57],2150
Acura,DE3F[357],2150
Acura,DE2F[378],2150
Acura,DE2E7,2150
Acura,DE2F[378],2150
Acura,DE2F[3478],2150
Acura,DE2F[378],2150
Acura,DE2F[378],2150
Acura,DC445,5063
Acura,DC436,5063
Acura,DC446,5063
Acura,DC238,5063
Acura,DC435,5063
Acura,DC239,5063
Acura,DB755,5063
Acura,DB765,5063
Acura,DB756,5063
Acura,DB766,5063
Acura,DB858,5063
Acura,DC231,5063
Acura,DB859,5063
Acura,DC437,5063
Acura,DA3,5063
Acura,DA1,5063
Acura,DA3,5063
Acura,DA1,5063
Acura,DA3,5063
Acura,DA1,5063
Acura,DA1,5063
Acura,DA3,5063
Acura,DA334,5063
Acura,DA344,5063
Acura,DA335,5063
Acura,DA345,5063
Acura,DA174,5063
Acura,DA184,5063
Acura,DA175,5063
Acura,DA185,5063
Acura,DA154,5063
Acura,DA155,5063
Acura,DA164,5063
Acura,DA165,5063
Acura,DA9,5063
Acura,DB1,5063
Acura,DA9,5063
Acura,DB1,5063
Acura,DA9,5063
Acura,DB1,5063
Acura,DB2,5063
Acura,DA9,5063
Acura,DB1,5063
Acura,DB2,5063
Acura,DB[78],5063
Acura,DC2,5063
Acura,DC4,5063
Acura,DB7,5063
Acura,DB8,5063
Acura,DC2,5063
Acura,DC4,5063
Acura,DB[78],5063
Acura,DC[24],5063
Acura,DB[78],5063
Acura,DC[24],5063
Acura,DC447,5063
Acura,DB755,5063
Acura,DB756,5063
Acura,DB765,5063
Acura,DB766,5063
Acura,DB858,5063
Acura,DB859,5063
Acura,DC231,5063
Acura,DC238,5063
Acura,DC239,5063
Acura,DC435,5063
Acura,DC436,5063
Acura,DC445,5063
Acura,DC446,5063
Acura,DC444,5063
Acura,DC434,5063
Acura,DC437,5063
Acura,DE4H2,5063
Acura,DE4H3,5063
Acura,DE4H6,5063
Acura,DE4G7,5063
Acura,KA2,5339
Acura,KA4,5339
Acura,KA3,5339
Acura,KA2,5339
Acura,KA4,5339
Acura,KA3,5339
Acura,KA3,5339
Acura,KA4,5339
Acura,KA[34],5339
Acura,KA[78],5339
Acura,KA7,5339
Acura,KA8,5339
Acura,KA[78],5339
Acura,KA[78],5339
Acura,KA[78],5339
Acura,YE1H,2147
Acura,YD9H,2147
Acura,Y[ED].H,2147
Acura,YD28[23458],2147
Acura,YD3H2,2147
Acura,YD3H4,2147
Acura,YD3H6,2147
Acura,YD3H8,2147
Acura,YD4H2,2147
Acura,YD4H4,2147
Acura,YD4H6,2147
Acura,YD4H8,2147
Acura,YD182,2147
Acura,YD184,2147
Acura,YD186,2147
Acura,YD188,2147
Acura,YD182,2147
Acura,YD184,2147
Acura,YD186,2147
Acura,YD188,2147
Acura,YD182,2147
Acura,YD186,2147
Acura,YD188,2147
Acura,YD187,2147
Acura,YD189,2147
Acura,YD182,2147
Acura,YD186,2147
Acura,YD187,2147
Acura,YD188,2147
Acura,YD189,2147
Acura,YD18[26-9],2147
Acura,YD18[26-9],2147
Acura,YD282,2147
Acura,YD284,2147
Acura,YD286,2147
Acura,YD287,2147
Acura,YD288,2147
Acura,YD283,2147
Acura,YD285,2147
Acura,YD282,2147
Acura,YD284,2147
Acura,YD286,2147
Acura,YD287,2147
Acura,YD288,2147
Acura,YD2H[24-7],2147
Acura,YD2H[24-7],2147
Acura,YD2H[23468],2147
Acura,YD2H[23468],2147
Acura,YD[34]H[2468],2147
Acura,YD[34]H[2469],2147
Acura,YD4H8,2147
Acura,YD4H[046],2147
Acura,YD7H[579],2147
Acura,YD3H[23],2147
Acura,YD3H5,2147
Acura,YD3H7,2147
Acura,YD3H8,2147
Acura,YD3H9,2147
Acura,YD4H[23],2147
Acura,YD4H5,2147
Acura,YD4H7,2147
Acura,YD4H8,2147
Acura,YD4H9,2147
Acura,YD7H[579],2147
Acura,YD3H[235789],2147
Acura,YD4H[023-9],2147
Acura,YD8H[89],29530
Acura,YD8H[89],29530
Acura,YD7H[579],2147
Acura,YD4H[02-5789],2147
Acura,YD3H[35789],2147
Acura,YD4H[02345789],2147
Acura,YD3H[35789],2147
Acura,YD7H[579],2147
Acura,NC1B0,5168
Acura,NA1,5168
Acura,NA[12],5168
Acura,NA213,5168
Acura,NA123,5168
Acura,NA216,5168
Acura,NA126,5168
Acura,NA212,5168
Acura,NC1B0,5168
Acura,NC1B0,5168
Acura,NC1B0,5168
Acura,NC1B0,5168
Acura,NA116,5168
Acura,NA126,5168
Acura,NA118,5168
Acura,NA128,5168
Acura,NA123,5168
Acura,NA126,5168
Acura,NA212,5168
Acura,NA213,5168
Acura,NA216,5168
Acura,NA123,5168
Acura,NA126,5168
Acura,NA212,5168
