VIN,Output
1684,V8 Vantage
1685,Model S
1686,DBS
1687,DB9
1688,Rapide
1689,Phantom
1690,Ghost
1691,Wraith
1692,R series
1693,S Series
1694,A Series
1695,V12 Vantage
1697,Virage
1698,Hot Rod
1699,Quattroporte
1700,Granturismo
1701,Vanquish
1703,Sprinter
1704,Sprinter
1705,Fulmer Bike
1706,Fulmer Trike
1707,128i
1708,135i
1709,328i
1710,M3
1711,335i
1712,335is
1713,335d
1714,X6
1715,528i
1716,535i
1717,X5
1718,550i
1719,X3
1720,740i
1721,740Li
1722,750i
1723,750Li
1724,760Li
1725,Z4
1726,Brighton Comet
1727,750xi
1728,750Lxi
1729,M6
1730,528xi
1731,640i
1732,650i
1733,650xi
1734,Veyron
1735,Hombilt Trailers
1736,G 450 X
1737,F 800 S
1738,F 800 ST
1739,F 800 GS
1740,F 800 R
1741,HP2
1742,S 1000 RR
1743,R 1200 GS
1744,R 1200 R
1745,R 1200 RT
1746,K 1300 S
1747,K 1300 GT
1748,K 1300 R
1749,F 650 GS
1750,G 650 GS
1751,R 900 RT
1752,K 1600 GT
1753,K 1600 GTL
1754,F 700 GS
1755,F 800 GT
1756,C 600
1757,C 650 GT
1758,HP4
1759,S 1000 R
1760,R nineT
1761,Cooper
1765,Clubman
1767,Cooper Convertible
1770,Golf Cart
1771,Low Speed Vehicle (LSV)
1772,Sport Cruiser
1773,Bobber
1774,Bagger
1775,Trike
1776,Mono
1777,Latitude
1778,Crown Victoria
1779,Focus
1780,Fusion
1781,Mustang
1782,Taurus
1783,Allure
1784,Intrigue
1785,Magna
1786,Affinity
1787,Inspire
1788,GO-4 Interceptor
1790,MKZ
1791,Town Car
1792,Grand Marquis
1793,Milan
1794,MKS
1795,Evora
1796,E-150
1797,Edge
1798,Escape
1799,Expedition
1800,Explorer
1801,F-150
1802,Flex
1803,Ranger
1804,Explorer Sport Trac
1805,F-250
1806,F-350
1807,F-450
1808,F-550
1809,F-650
1810,F-750
1811,Transit Connect
1812,MKT
1813,MKX
1814,Navigator
1815,Mariner
1816,Mountaineer
1817,E-250
1818,E-350
1819,E-450
1820,Expedition MAX
1821,LaCrosse
1822,Regal
1823,Verano
1824,ATS
1825,CTS
1826,ELR
1827,XTS
1828,Aveo
1829,Camaro
1830,Caprice Police Vehicle
1831,Corvette
1832,Cruze
1833,Impala
1834,Malibu
1835,Sonic
1836,Spark
1837,SS
1838,Volt
1839,Volt
1840,Ampera
1841,Enclave
1842,Encore
1843,Escalade
1844,SRX
1846,Captiva Sport
1847,Equinox
1848,Express
1849,Orlando
1850,Silverado
1851,Suburban
1852,Tahoe
1853,Traverse
1854,Tracker
1855,Acadia
1856,Savana
1857,Sierra
1858,Terrain
1859,Yukon
1860,Tribute
1861,Accord
1862,Hardtop
1863,Civic
1864,Pilot
1865,CR-V
1866,Ridgeline
1867,ZDX
1868,Element
1869,Odyssey
1870,Insight
1871,RDX
1872,RL
1873,TL
1874,TSX
1875,FCX Clarity
1876,Cirrus
1877,Sebring
1878,300
1880,Countryman
1885,Quest Manufacturing
1886,Cooper Coupe
1890,GT-R
1892,Avenger
1893,Challenger
1894,Versa
1895,Charger
1896,Caliber
1897,Viper
1898,Versa Note
1899,QX50
1900,Q40
1901,Q50
1902,Q60
1903,Q70
1904,Altima
1905,Leaf
1906,370Z
1907,Sentra
1908,QX70
1909,QX80
1910,QX60
1911,Pathfinder
1912,Juke
1913,Rogue
1914,Murano
1915,Armada
1916,Xterra
1917,Quest
1918,NV200
1919,Frontier
1920,Titan
1921,City Express
1922,NV
1925,Cooper Roadster
1928,Paceman
1936,Town and Country
1937,Grand Voyager
1938,Ram
1939,Journey
1940,Nitro
1941,Dakota
1942,Caravan/Grand Caravan
1943,Wrangler
1944,Liberty
1945,Cherokee
1946,Compass
1947,Patriot
1948,Commander
1949,Grand Cherokee
1950,Raider
1951,Routan
1952,Low Speed Vehicle / Class A Club Car
1953,Fairplay Car
1954,The Classic Series
1955,Pan-European Homologated Tractor
1956,Pan-European Homologated Quadricycle
1958,Ram Chassis Cab
1959,S60
1960,S80
1961,V60
1962,XC60
1963,XC70
1965,VHD
1966,VNM
1967,VNL
1968,VAH
1969,VNX
1970,1M
1971,Active E
1972,MB Chassis
1973,MC 45 Chassis
1974,XC Chassis
1975,XC-S Straight Rail Rear Engine Motor Home Chassis
1976,VCL Chassis
1977,MT 35 Chassis
1978,MT 45 Chassis
1979,MT 55 Chassis
1980,ER Rear Engine Bus Chassis
1981,XB Chassis
1982,FS 65 Chassis
1983,FB 65 Chassis
1984,MBO Chassis
1985,OMC Chassis
1986,XCA Chassis
1987,EF Front Engine Bus Chassis
1988,MB 55 Chassis
1989,B2 Bus Chassis
1991,XC Formed Rail Rear Engine Motor Home Chassis
1992,XC Modular Rail Rear Engine Motor Home Chassis
1993,XC Raised Rail Rear Engine Motor Home Chassis
1994,XC Raised Rail (Lowerer Engine) Rear Engine Motor Home Chassis
1995,FBX 106 Shuttle Bus Chassis
1996,XB Straight Rail Rear Engine Motor Home Chassis
1998,MT 45 HEV Chassis
1999,XC-F Formed Rail Rear Engine Motor Home Chassis
2000,XC-M Modular Rail Rear Engine Motor Home Chassis
2001,XC-R Raised Rail Rear Engine Motor Home Chassis
2002,MC Front Engine Motor Home Chassis
2003,S2 106 Bus Chassis
2004,XB Raised Rail Rear Engine Shuttle Bus Chassis
2005,XC-P Powerliner Raise Rail Rear Engine Motor Home Chassis
2006,XC-L Lowered Rail Rear Engine Motor Home Chassis
2007,MT-55 HEV Chassis
2008,MT 45G Front Gasoline Engine Walk in Van Chassis
2009,MCG Front Gasoline Engine Motor Home Chassis
2010,MC HEV Front Engine Motor Home Chassis
2011,B2 HEV 106 CONVENTIONAL BUS CHASSIS
2012,MBC Front Engine Commercial Bus Chassis
2013,XBP Rear Engine Commercial Bus Chassis
2014,MCL Front Engine Motor Home Chassis
2015,MT-55 HHV Chassis (Hydraulic Hybrid Vehicle)
2016,S2C 106 Conventional Cab & Chassis
2017,S2RV 106 Conventional cab & Chassis
2018,MT45EV
2019,XC Rear Engine Motor Home Chassis GLIDER
2020,EFX Front Engine Bus Chassis
2021,S2G Conventional Full Cab and Chassis
2022,MT 55G Front Gasoline Engine Walk in Van Chassis
2023,XBS Straight Rail Rear Engine Shuttle Bus Chassis
2024,M5
2025,Bus
2026,MPV
2027,Incomplete
2028,CHU
2029,CXU
2030,GU
2031,LEU
2032,MRU
2033,TD
2034,LR
2035,4C
2036,Chairiot Solo
2037,500L
2038,Q70L
2039,357
2040,378
2041,385
2042,335
2043,330
2044,Medium Duty COE
2045,320
2046,379
2047,362
2048,387
2049,386
2050,Promaster City
2051,Thema
2052,Flavia
2053,200
2054,Dart
2055,500
2056,Equus
2057,Santa Fe
2058,Tucson
2059,Dump Trailer
2060,Enclosed Trailer
2061,Flat Bed Trailer
2062,Side Dump Trailer
2063,Gooseneck
2064,Fifth Wheel
2065,Ball Type Pull
2066,Murcielago
2067,Gallardo
2068,Hydratail
2069,Vacuum Tank
2070,Mad Dawg
2071,Roadster
2072,MX-5
2073,RX-8
2074,Mazda3
2075,Mazda5
2076,CX-7
2077,CX-9
2078,Mazda6
2079,SL-Class
2080,SLK-Class
2081,E-Class
2082,CLS-Class
2083,CLA-Class
2084,GLA-Class
2085,C-Class
2086,S-Class
2087,SLS-Class
2088,All American / All Canada
2089,Shell All American
2090,Shell Commercial Series
2091,BB Conventional
2092,Shell BB Conventional
2093,Chassis Only
2094,Streetcar
2095,Low Floor Bus
2096,DR200SE
2097,GZ250
2098,AN400 / AN400S
2099,DR-Z400SL
2102,GSX600F/GSX600FT
2103,GSX-R600L
2104,GSF650S
2105,GSF650SA
2106,DR650SEL
2107,SV650/SV650S/SV650SF
2108,AN650L
2109,AN650A
2110,LS650L
2111,DL650L
2112,GSX750F/GSX750FT
2113,B-Class
2114,smart
2115,GSX-R750/GSX-R750T
2116,VS800
2117,VZ800/VZ800Z
2118,VL800 / VL800T / VL800C/VL800B
2119,DL1000
2120,SV1000 / SV1000S
2121,GSX-R1000L
2122,GSF1250S
2123,GSX1300R
2124,VS1400/VS1400GL
2125,VL1500 / VL1500T
2126,VZR1800/VZR1800Z/VZR1800N
2127,Fit
2128,CR-Z
2129,M-Class
2130,GL-Class
2131,G-Class
2132,GLK-Class
2133,LT-Z50/LT-Z50Z
2138,LT-Z250/ LT-Z250Z
2139,LT-F400F
2140,LT-A400F/KING QUAD 400AS
2141,LT-Z400L/LT-Z400ZL
2143,LT-R450/LT-R450Z
2144,LT-F500F
2145,LT-A500F
2146,LT-A700X
2147,MDX
2149,RLX
2150,ILX
2151,Truck
2152,Incomplete
2153,Mazda2
2154,Xcelsior
2155,MiDi
2156,Transit Bus
2157,Invero
2158,Low Floor
2159,Low Floor Re-styled
2160,High Floor
2161,Low Floor - Advanced Style
2162,Precision Cart
2163,Outlander
2164,Lancer
2165,Galant
2166,Eclipse
2167,Endeavor
2168,Conventional Type Truck
2169,Incomplete Vehicle
2170,228i
2171,M235i
2172,320i
2173,328d
2174,XJC710  / XFC710
2175,XJC700
2176,XJC720 / XFC720
2177,XJC740 / XFC740
2178,i3
2179,i8
2180,GS
2182,LS
2183,SC
2184,IS
2186,S Series
