VIN,Output
SCF,1995
SAJ,1996
SAL,1997
5YJ,1998
546,1999
ZAM,2000
LAA,2001
SCA,2002
WDZ,2003
WCD,2004
WD4,2005
WDR,2006
WD3,2007
WDY,2008
WDA,2009
WDP,2010
1F9434,2011
WBA,2012
WBS,2013
WBX,2014
SUX,2015
4US,2016
SUM,2017
1M9667,2018
5UX,2019
5YM,2020
1H9333,2021
VF9795,2022
WB1,2023
WMW,2024
1A9596,2025
1M9983,2026
4C9240,2027
1FA,2028
1LN,2029
1ME,2030
1ZV,2031
2FA,2032
2LN,2033
2ME,2034
3FA,2035
3LN,2036
3ME,2037
1L9534,2038
4C9383,2039
2W9044,2040
2LJ,2041
2L1,2042
1FB,2043
1FC,2044
SCC,2045
1FD,2046
1FM,2047
1FT,2048
2FM,2049
5LD,2051
1G1,2052
1G4,2053
1G6,2054
5G8,2055
1G0,2056
2G1,2057
2G4,2058
2G6,2059
3G1,2060
KL8,2061
6G3,2062
1GC,2063
1GT,2064
3GC,2065
3GT,2066
5GA,2067
KL4,2069
1GY,2071
3GY,2072
1GN,2073
2GN,2074
3GN,2075
KL7,2076
1GK,2077
2GK,2078
1GB,2079
3GB,2080
1GD,2081
3GD,2082
2GE,2083
1GA,2084
1GJ,2085
3FR,2086
NM0,2087
2LM,2088
5LM,2089
4F2,2090
4M2,2091
JHM,2093
1HG,2094
5KB,2095
2HG,2096
SHH,2097
3HG,2098
19X,2099
JH4,2100
JHL,2101
JH1,2102
19U,2103
5J6,2104
5J8,2105
5J7,2106
5J0,2107
5KC,2108
5FN,2109
5FR,2110
5FP,2111
5FS,2112
2HH,2113
2HK,2114
2HN,2115
2HJ,2116
2HU,2117
SHS,2118
3CZ,2119
1B3,2120
1C3,2121
2B3,2122
2C3,2123
1Z9101,2124
JN1,2125
1N4,2126
3N1,2127
JN3,2128
JN8,2129
5N1,2130
3N8,2131
KNM,2132
JN6,2133
1N6,2134
3N6,2135
5BZ,2136
1D7,2137
1D6,2138
1Z7,2139
3D7,2140
3D6,2141
1A4,2142
1D4,2143
1J4,2144
1J6,2145
2A4,2146
2D4,2147
3A4,2148
3D4,2149
2V4,2150
JH2,2151
1HF,2152
YC1,2153
3H1,2154
5J5,2155
YV1,2156
YV4,2157
5UM,2158
1G9267,2159
4V4,2160
4V5,2161
52M,2162
4UZ,2163
4C9152,2164
4C9153,2165
4C9154,2166
1M1,2167
1M2,2168
1M3,2170
1FU,2172
1FV,2173
3AK,2174
3AL,2175
ZAR,2176
57L,2177
ZFB,2179
1XP,2180
1NP,2181
2XP,2182
2NP,2183
3WP,2184
3BP,2186
SBV,2187
3C3,2189
KMH,2190
KNA,2191
5XX,2192
U5Y,2193
KND,2194
5XY,2195
5NP,2196
KM8,2197
5NM,2198
1M9972,2199
1M9970,2200
ZHW,2201
1H9261,2202
1V9192,2203
1M9971,2204
SFZ,2205
JM1,2206
JM2,2207
JM3,2208
1YV,2209
4F3,2211
WDD,2212
WDB,2214
WME,2215
55S,2216
1BA,2217
1BB,2218
1BC,2219
1BD,2220
1Z9216,2221
JS1,2222
JSA,2223
LM1,2224
LM4,2225
KM4,2226
VTT,2228
5SA,2229
JKS,2230
JSK,2231
JSL,2232
RK6,2233
RK7,2234
WDC,2236
4JG,2237
4F4,2238
19V,2239
5FY,2240
2FY,2241
4EN,2242
JA3,2243
JA4,2244
1P9751,2245
4A3,2246
4A4,2247
JHH,2248
2AY,2249
JHA,2250
JHB,2251
5PV,2252
JTH,2253
JTK,2254
JTE,2255
JTL,2256
JTJ,2257
JTD,2258
JTM,2259
WBY,2260
10T,2261
3TM,2262
17J,2263
1NX,2264
5TE,2265
1HP,2266
1HS,2267
1HT,2268
1HV,2269
2HP,2270
2HS,2271
2HT,2272
2HV,2273
3HA,2274
3HB,2275
3HC,2276
3HR,2277
3HS,2278
3HT,2279
3HV,2280
4S3,2281
4S4,2282
JF2,2283
JF1,2284
4DR,2285
4KA,2286
5B4,2287
5T4,2288
5WE,2289
LB2,2290
JL6,2291
JLS,2297
JNR,2298
JNT,2299
5N3,2300
JNK,2301
JNA,2303
JNE,2304
IYV,2305
JNX,2307
ML3,2309
1F7,2310
2FD,2311
2MH,2312
1LJ,2313
1L1,2314
1F1,2315
3FT,2316
3MZ,2318
3FD,2319
3FN,2320
2FT,2321
4X4,2322
2MR,2323
5L1,2324
1F6,2325
2T1,2326
4T1,2327
5Y2,2328
5TB,2329
5TF,2330
1XK,2331
2XK,2332
3WK,2333
SFN,2334
5TD,2335
1NK,2336
2NK,2337
3BK,2338
4T4,2339
JTN,2340
5LT,2341
2T2,2342
4T3,2343
93M,2344
93S,2345
93V,2346
2T3,2347
WD1,2348
WDX,2349
WD0,2350
WD8,2351
